listing_id,niche,season,product,angle,design_text,title,tags,price_usd,est_fees_usd,est_cogs_usd,est_profit_usd,est_margin_pct,priority,status
LB-00014,Graduation Families,Mothers Day,Sticker,Retro,Groovy Flowers,Groovy Flowers Sticker | Mothers Day | Graduation Families,mothers day gift|gift for mom|mama gift|graduation families|graduation gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,high,backlog
LB-00015,Plant Lovers,Graduation,Sticker,Profession Pride,Built for Service,Built for Service Sticker | Graduation | Plant Lovers,graduation gift|class of 2026|grad shirt|plant lovers|plant gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,high,backlog
LB-00016,Therapists,Mothers Day,Sticker,Custom Name,Custom Role Name,Custom Role Name Sticker | Mothers Day | Therapists,mothers day gift|gift for mom|mama gift|therapists|therapists gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,high,backlog
LB-00017,Cat Moms,Halloween,Mug,Sarcastic,Barely Functioning,Barely Functioning Mug | Halloween | Cat Moms,halloween shirt|spooky mug|cute halloween|cat moms|cat gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,2.06,12.5,2.43,14.3,medium,backlog
LB-00018,Real Estate Agents,Halloween,Mug,Pun,Read Sleep Repeat,Read Sleep Repeat Mug | Halloween | Real Estate Agents,halloween shirt|spooky mug|cute halloween|real estate agents|real gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,2.06,12.5,2.43,14.3,medium,backlog
LB-00019,Gamers,Halloween,T-Shirt,Minimalist,Booktrovert,Booktrovert T-Shirt | Halloween | Gamers,halloween shirt|spooky mug|cute halloween|gamers|gamers gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,medium,backlog
LB-00020,Nurses,Christmas,Mug,Pun,Plant Parent Energy,Plant Parent Energy Mug | Christmas | Nurses,christmas gift|holiday shirt|xmas mug|nurses|nurses gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,2.06,12.5,2.43,14.3,medium,backlog
LB-00021,New Moms,Fathers Day,T-Shirt,Photo Style,Photo Collage Layout,Photo Collage Layout T-Shirt | Fathers Day | New Moms,fathers day gift|gift for dad|dad shirt|new moms|new gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,high,backlog
LB-00022,Real Estate Agents,Fathers Day,Sweatshirt,Profession Pride,Caregiver Heart,Caregiver Heart Sweatshirt | Fathers Day | Real Estate Agents,fathers day gift|gift for dad|dad shirt|real estate agents|real gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,high,backlog
LB-00023,Girl Moms,Halloween,Sweatshirt,Retro,Vintage Sunset,Vintage Sunset Sweatshirt | Halloween | Girl Moms,halloween shirt|spooky mug|cute halloween|girl moms|girl gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,medium,backlog
LB-00024,Book Lovers,Evergreen,Mug,Sarcastic,Not Today,Not Today Mug | Evergreen | Book Lovers,funny gift|personalized gift|custom shirt|book lovers|book gift|mug|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,2.06,12.5,2.43,14.3,medium,backlog
LB-00025,Graduation Families,Christmas,Mug,Profession Pride,Healing Hands,Healing Hands Mug | Christmas | Graduation Families,christmas gift|holiday shirt|xmas mug|graduation families|graduation gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,2.06,12.5,2.43,14.3,medium,backlog
LB-00026,Dog Moms,Mothers Day,Sticker,Photo Style,Memory Badge,Memory Badge Sticker | Mothers Day | Dog Moms,mothers day gift|gift for mom|mama gift|dog moms|dog gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,high,backlog
LB-00027,Fitness Moms,Christmas,Sticker,Profession Pride,Proud to Teach,Proud to Teach Sticker | Christmas | Fitness Moms,christmas gift|holiday shirt|xmas mug|fitness moms|fitness gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,medium,backlog
LB-00028,Teachers,Evergreen,Sweatshirt,Profession Pride,Healing Hands,Healing Hands Sweatshirt | Evergreen | Teachers,funny gift|personalized gift|custom shirt|teachers|teachers gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,medium,backlog
LB-00029,New Moms,Fathers Day,Mug,Pun,Respawn and Repeat,Respawn and Repeat Mug | Fathers Day | New Moms,fathers day gift|gift for dad|dad shirt|new moms|new gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,2.06,12.5,2.43,14.3,high,backlog
LB-00030,New Dads,Evergreen,Sticker,Sarcastic,Barely Functioning,Barely Functioning Sticker | Evergreen | New Dads,funny gift|personalized gift|custom shirt|new dads|new gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,medium,backlog
LB-00031,Teachers,Back to School,Sticker,Retro,Vintage Sunset,Vintage Sunset Sticker | Back to School | Teachers,back to school|teacher shirt|classroom decor|teachers|teachers gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,medium,backlog
LB-00032,Grandmas/Nanas,Mothers Day,T-Shirt,Minimalist,Dog Mom Club,Dog Mom Club T-Shirt | Mothers Day | Grandmas/Nanas,mothers day gift|gift for mom|mama gift|grandmas nanas|grandmas/nanas gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,high,backlog
LB-00033,Real Estate Agents,Evergreen,Sweatshirt,Retro,Retro Script,Retro Script Sweatshirt | Evergreen | Real Estate Agents,funny gift|personalized gift|custom shirt|real estate agents|real gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,medium,backlog
LB-00034,Moms of 2+,Christmas,T-Shirt,Minimalist,Grace Over Grind,Grace Over Grind T-Shirt | Christmas | Moms of 2+,christmas gift|holiday shirt|xmas mug|moms of 2+|moms gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,medium,backlog
LB-00035,Christian Moms,Evergreen,T-Shirt,Sarcastic,Not Today,Not Today T-Shirt | Evergreen | Christian Moms,funny gift|personalized gift|custom shirt|christian moms|christian gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,medium,backlog
LB-00036,Teachers,Fathers Day,Mug,Pun,Grade A Chaos,Grade A Chaos Mug | Fathers Day | Teachers,fathers day gift|gift for dad|dad shirt|teachers|teachers gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,2.06,12.5,2.43,14.3,high,backlog
LB-00037,Christian Moms,Graduation,T-Shirt,Profession Pride,Nurse Strong,Nurse Strong T-Shirt | Graduation | Christian Moms,graduation gift|class of 2026|grad shirt|christian moms|christian gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,high,backlog
LB-00038,Boy Moms,Halloween,T-Shirt,Sentimental,Thank You for Everything,Thank You for Everything T-Shirt | Halloween | Boy Moms,halloween shirt|spooky mug|cute halloween|boy moms|boy gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,medium,backlog
LB-00039,Dog Moms,Back to School,T-Shirt,Minimalist,Nurse Life,Nurse Life T-Shirt | Back to School | Dog Moms,back to school|teacher shirt|classroom decor|dog moms|dog gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,medium,backlog
LB-00040,Cat Moms,Christmas,T-Shirt,Minimalist,Dad Mode,Dad Mode T-Shirt | Christmas | Cat Moms,christmas gift|holiday shirt|xmas mug|cat moms|cat gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,medium,backlog
LB-00041,Cat Moms,Fathers Day,Sweatshirt,Sarcastic,Running on Vibes,Running on Vibes Sweatshirt | Fathers Day | Cat Moms,fathers day gift|gift for dad|dad shirt|cat moms|cat gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,high,backlog
LB-00042,New Dads,Evergreen,Sweatshirt,Photo Style,Photo Collage Layout,Photo Collage Layout Sweatshirt | Evergreen | New Dads,funny gift|personalized gift|custom shirt|new dads|new gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,medium,backlog
LB-00043,Real Estate Agents,Graduation,Sticker,Pun,Grade A Chaos,Grade A Chaos Sticker | Graduation | Real Estate Agents,graduation gift|class of 2026|grad shirt|real estate agents|real gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,high,backlog
LB-00044,Gamers,Evergreen,T-Shirt,Sentimental,Always in My Heart,Always in My Heart T-Shirt | Evergreen | Gamers,funny gift|personalized gift|custom shirt|gamers|gamers gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,medium,backlog
LB-00045,Nurses,Christmas,T-Shirt,Minimalist,Booktrovert,Booktrovert T-Shirt | Christmas | Nurses,christmas gift|holiday shirt|xmas mug|nurses|nurses gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,medium,backlog
LB-00046,New Moms,Fathers Day,Mug,Photo Style,Photo Collage Layout,Photo Collage Layout Mug | Fathers Day | New Moms,fathers day gift|gift for dad|dad shirt|new moms|new gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,2.06,12.5,2.43,14.3,high,backlog
LB-00047,Gamers,Graduation,Sticker,Retro,Throwback Type,Throwback Type Sticker | Graduation | Gamers,graduation gift|class of 2026|grad shirt|gamers|gamers gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,high,backlog
LB-00048,Grandmas/Nanas,Graduation,Sweatshirt,Pun,Fueled by Coffee and Chaos,Fueled by Coffee and Chaos Sweatshirt | Graduation | Grandmas/Nanas,graduation gift|class of 2026|grad shirt|grandmas nanas|grandmas/nanas gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,high,backlog
LB-00049,Moms of 2+,Mothers Day,Sticker,Profession Pride,Classroom Hero,Classroom Hero Sticker | Mothers Day | Moms of 2+,mothers day gift|gift for mom|mama gift|moms of 2+|moms gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,high,backlog
LB-00050,Book Lovers,Fathers Day,Sticker,Profession Pride,Healing Hands,Healing Hands Sticker | Fathers Day | Book Lovers,fathers day gift|gift for dad|dad shirt|book lovers|book gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,high,backlog
LB-00051,Book Lovers,Mothers Day,Sticker,Photo Style,Polaroid Frame Style,Polaroid Frame Style Sticker | Mothers Day | Book Lovers,mothers day gift|gift for mom|mama gift|book lovers|book gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,high,backlog
LB-00052,Plant Lovers,Mothers Day,Sweatshirt,Photo Style,Snapshot Memory,Snapshot Memory Sweatshirt | Mothers Day | Plant Lovers,mothers day gift|gift for mom|mama gift|plant lovers|plant gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,high,backlog
LB-00053,Girl Moms,Back to School,Sweatshirt,Retro,Retro Script,Retro Script Sweatshirt | Back to School | Girl Moms,back to school|teacher shirt|classroom decor|girl moms|girl gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,medium,backlog
LB-00054,Cat Moms,Halloween,Sweatshirt,Custom Name,Custom Role Name,Custom Role Name Sweatshirt | Halloween | Cat Moms,halloween shirt|spooky mug|cute halloween|cat moms|cat gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,medium,backlog
LB-00055,Teachers,Back to School,Sticker,Pun,Read Sleep Repeat,Read Sleep Repeat Sticker | Back to School | Teachers,back to school|teacher shirt|classroom decor|teachers|teachers gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,medium,backlog
LB-00056,Dog Moms,Graduation,Mug,Photo Style,Picture + Name,Picture + Name Mug | Graduation | Dog Moms,graduation gift|class of 2026|grad shirt|dog moms|dog gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,2.06,12.5,2.43,14.3,high,backlog
LB-00057,Graduation Families,Fathers Day,T-Shirt,Sarcastic,IYKYK,IYKYK T-Shirt | Fathers Day | Graduation Families,fathers day gift|gift for dad|dad shirt|graduation families|graduation gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,high,backlog
LB-00058,Gamers,Evergreen,Sweatshirt,Custom Name,Personalized Family Name,Personalized Family Name Sweatshirt | Evergreen | Gamers,funny gift|personalized gift|custom shirt|gamers|gamers gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,medium,backlog
LB-00059,New Moms,Mothers Day,Sticker,Retro,Groovy Flowers,Groovy Flowers Sticker | Mothers Day | New Moms,mothers day gift|gift for mom|mama gift|new moms|new gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,high,backlog
LB-00060,Moms of 2+,Graduation,Mug,Photo Style,Photo Collage Layout,Photo Collage Layout Mug | Graduation | Moms of 2+,graduation gift|class of 2026|grad shirt|moms of 2+|moms gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,2.06,12.5,2.43,14.3,high,backlog
LB-00061,Real Estate Agents,Evergreen,Mug,Retro,Throwback Type,Throwback Type Mug | Evergreen | Real Estate Agents,funny gift|personalized gift|custom shirt|real estate agents|real gift|mug|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,2.06,12.5,2.43,14.3,medium,backlog
LB-00062,Grandmas/Nanas,Graduation,Mug,Sentimental,Forever Proud,Forever Proud Mug | Graduation | Grandmas/Nanas,graduation gift|class of 2026|grad shirt|grandmas nanas|grandmas/nanas gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,2.06,12.5,2.43,14.3,high,backlog
LB-00063,Book Lovers,Graduation,T-Shirt,Photo Style,Snapshot Memory,Snapshot Memory T-Shirt | Graduation | Book Lovers,graduation gift|class of 2026|grad shirt|book lovers|book gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,high,backlog
LB-00064,Coffee Lovers,Halloween,T-Shirt,Sarcastic,IYKYK,IYKYK T-Shirt | Halloween | Coffee Lovers,halloween shirt|spooky mug|cute halloween|coffee lovers|coffee gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,medium,backlog
LB-00065,Therapists,Christmas,T-Shirt,Profession Pride,Caregiver Heart,Caregiver Heart T-Shirt | Christmas | Therapists,christmas gift|holiday shirt|xmas mug|therapists|therapists gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,medium,backlog
LB-00066,Moms of 2+,Mothers Day,Sticker,Pun,Grade A Chaos,Grade A Chaos Sticker | Mothers Day | Moms of 2+,mothers day gift|gift for mom|mama gift|moms of 2+|moms gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,high,backlog
LB-00067,Fitness Moms,Christmas,Mug,Photo Style,Snapshot Memory,Snapshot Memory Mug | Christmas | Fitness Moms,christmas gift|holiday shirt|xmas mug|fitness moms|fitness gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,2.06,12.5,2.43,14.3,medium,backlog
LB-00068,Teachers,Graduation,Sweatshirt,Custom Name,Monogram Style,Monogram Style Sweatshirt | Graduation | Teachers,graduation gift|class of 2026|grad shirt|teachers|teachers gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,high,backlog
LB-00069,Book Lovers,Fathers Day,Sweatshirt,Sarcastic,Not Today,Not Today Sweatshirt | Fathers Day | Book Lovers,fathers day gift|gift for dad|dad shirt|book lovers|book gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,high,backlog
LB-00070,Book Lovers,Evergreen,Mug,Retro,Old School Badge,Old School Badge Mug | Evergreen | Book Lovers,funny gift|personalized gift|custom shirt|book lovers|book gift|mug|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,2.06,12.5,2.43,14.3,medium,backlog
LB-00071,Book Lovers,Evergreen,T-Shirt,Pun,Plant Parent Energy,Plant Parent Energy T-Shirt | Evergreen | Book Lovers,funny gift|personalized gift|custom shirt|book lovers|book gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,medium,backlog
LB-00072,New Moms,Christmas,Mug,Minimalist,Dad Mode,Dad Mode Mug | Christmas | New Moms,christmas gift|holiday shirt|xmas mug|new moms|new gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,2.06,12.5,2.43,14.3,medium,backlog
LB-00073,Dental Hygienists,Halloween,Sweatshirt,Retro,Retro Script,Retro Script Sweatshirt | Halloween | Dental Hygienists,halloween shirt|spooky mug|cute halloween|dental hygienists|dental gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,medium,backlog
LB-00074,Teachers,Fathers Day,Sticker,Retro,Throwback Type,Throwback Type Sticker | Fathers Day | Teachers,fathers day gift|gift for dad|dad shirt|teachers|teachers gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,high,backlog
LB-00075,Book Lovers,Christmas,Sweatshirt,Retro,Retro Script,Retro Script Sweatshirt | Christmas | Book Lovers,christmas gift|holiday shirt|xmas mug|book lovers|book gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,medium,backlog
LB-00076,Cat Moms,Christmas,Sweatshirt,Minimalist,Dog Mom Club,Dog Mom Club Sweatshirt | Christmas | Cat Moms,christmas gift|holiday shirt|xmas mug|cat moms|cat gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,medium,backlog
LB-00077,Moms of 2+,Graduation,Sticker,Pun,Plant Parent Energy,Plant Parent Energy Sticker | Graduation | Moms of 2+,graduation gift|class of 2026|grad shirt|moms of 2+|moms gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,high,backlog
LB-00078,Dog Moms,Evergreen,Mug,Sarcastic,Professionally Tired,Professionally Tired Mug | Evergreen | Dog Moms,funny gift|personalized gift|custom shirt|dog moms|dog gift|mug|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,2.06,12.5,2.43,14.3,medium,backlog
LB-00079,Grandmas/Nanas,Graduation,Mug,Sentimental,Built with Love,Built with Love Mug | Graduation | Grandmas/Nanas,graduation gift|class of 2026|grad shirt|grandmas nanas|grandmas/nanas gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,2.06,12.5,2.43,14.3,high,backlog
LB-00080,Therapists,Fathers Day,T-Shirt,Minimalist,Teacher Vibes,Teacher Vibes T-Shirt | Fathers Day | Therapists,fathers day gift|gift for dad|dad shirt|therapists|therapists gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,high,backlog
LB-00081,Coffee Lovers,Halloween,Sticker,Photo Style,Photo Collage Layout,Photo Collage Layout Sticker | Halloween | Coffee Lovers,halloween shirt|spooky mug|cute halloween|coffee lovers|coffee gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,medium,backlog
LB-00082,New Moms,Mothers Day,Mug,Photo Style,Photo Collage Layout,Photo Collage Layout Mug | Mothers Day | New Moms,mothers day gift|gift for mom|mama gift|new moms|new gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,2.06,12.5,2.43,14.3,high,backlog
LB-00083,Therapists,Christmas,Sweatshirt,Photo Style,Polaroid Frame Style,Polaroid Frame Style Sweatshirt | Christmas | Therapists,christmas gift|holiday shirt|xmas mug|therapists|therapists gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,medium,backlog
LB-00084,Book Lovers,Evergreen,Sticker,Pun,Vitals and Vibes,Vitals and Vibes Sticker | Evergreen | Book Lovers,funny gift|personalized gift|custom shirt|book lovers|book gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,medium,backlog
LB-00085,New Moms,Mothers Day,Sticker,Profession Pride,Nurse Strong,Nurse Strong Sticker | Mothers Day | New Moms,mothers day gift|gift for mom|mama gift|new moms|new gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,high,backlog
LB-00086,Dental Hygienists,Fathers Day,Sticker,Profession Pride,Caregiver Heart,Caregiver Heart Sticker | Fathers Day | Dental Hygienists,fathers day gift|gift for dad|dad shirt|dental hygienists|dental gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,high,backlog
