wave,publish_date,listing_id,niche,season,product,title,tags,price_usd,est_margin_pct,status
W8,2026-04-16,LB-00125,Book Lovers,Evergreen,T-Shirt,Dog Mom Club T-Shirt | Evergreen | Book Lovers,funny gift|personalized gift|custom shirt|book lovers|book gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-17,LB-00163,Book Lovers,Evergreen,T-Shirt,My Favorite Human T-Shirt | Evergreen | Book Lovers,funny gift|personalized gift|custom shirt|book lovers|book gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-18,LB-00184,Real Estate Agents,Evergreen,T-Shirt,Memory Badge T-Shirt | Evergreen | Real Estate Agents,funny gift|personalized gift|custom shirt|real estate agents|real gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-19,LB-00208,Dental Hygienists,Evergreen,T-Shirt,Caregiver Heart T-Shirt | Evergreen | Dental Hygienists,funny gift|personalized gift|custom shirt|dental hygienists|dental gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-20,LB-00209,Fitness Moms,Evergreen,T-Shirt,Mama Era T-Shirt | Evergreen | Fitness Moms,funny gift|personalized gift|custom shirt|fitness moms|fitness gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-21,LB-00274,Book Lovers,Evergreen,T-Shirt,Groovy Flowers T-Shirt | Evergreen | Book Lovers,funny gift|personalized gift|custom shirt|book lovers|book gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-15,LB-00312,Christian Moms,Evergreen,T-Shirt,Plant Parent Energy T-Shirt | Evergreen | Christian Moms,funny gift|personalized gift|custom shirt|christian moms|christian gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-16,LB-00313,Gamers,Evergreen,T-Shirt,Vintage Sunset T-Shirt | Evergreen | Gamers,funny gift|personalized gift|custom shirt|gamers|gamers gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-17,LB-00317,Graduation Families,Evergreen,T-Shirt,Caregiver Heart T-Shirt | Evergreen | Graduation Families,funny gift|personalized gift|custom shirt|graduation families|graduation gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-18,LB-00327,Coffee Lovers,Evergreen,T-Shirt,Picture + Name T-Shirt | Evergreen | Coffee Lovers,funny gift|personalized gift|custom shirt|coffee lovers|coffee gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-19,LB-00373,Fitness Moms,Evergreen,T-Shirt,Custom Role Name T-Shirt | Evergreen | Fitness Moms,funny gift|personalized gift|custom shirt|fitness moms|fitness gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-20,LB-00379,Graduation Families,Evergreen,T-Shirt,Respawn and Repeat T-Shirt | Evergreen | Graduation Families,funny gift|personalized gift|custom shirt|graduation families|graduation gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-21,LB-00389,Cat Moms,Evergreen,T-Shirt,Add Kid Names T-Shirt | Evergreen | Cat Moms,funny gift|personalized gift|custom shirt|cat moms|cat gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-15,LB-00471,Christian Moms,Evergreen,T-Shirt,Respawn and Repeat T-Shirt | Evergreen | Christian Moms,funny gift|personalized gift|custom shirt|christian moms|christian gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-16,LB-00472,Christian Moms,Evergreen,T-Shirt,Healing Hands T-Shirt | Evergreen | Christian Moms,funny gift|personalized gift|custom shirt|christian moms|christian gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-17,LB-00478,Boy Moms,Evergreen,T-Shirt,Grace Over Grind T-Shirt | Evergreen | Boy Moms,funny gift|personalized gift|custom shirt|boy moms|boy gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-18,LB-00486,Christian Moms,Evergreen,T-Shirt,Booktrovert T-Shirt | Evergreen | Christian Moms,funny gift|personalized gift|custom shirt|christian moms|christian gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-19,LB-00488,Nurses,Evergreen,T-Shirt,Classroom Hero T-Shirt | Evergreen | Nurses,funny gift|personalized gift|custom shirt|nurses|nurses gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-20,LB-00500,Grandmas/Nanas,Evergreen,T-Shirt,Distressed Classic T-Shirt | Evergreen | Grandmas/Nanas,funny gift|personalized gift|custom shirt|grandmas nanas|grandmas/nanas gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-21,LB-00540,Cat Moms,Evergreen,T-Shirt,Nurse Strong T-Shirt | Evergreen | Cat Moms,funny gift|personalized gift|custom shirt|cat moms|cat gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-15,LB-00602,Therapists,Evergreen,T-Shirt,Nurse Life T-Shirt | Evergreen | Therapists,funny gift|personalized gift|custom shirt|therapists|therapists gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-16,LB-00618,Dog Moms,Evergreen,T-Shirt,Always in My Heart T-Shirt | Evergreen | Dog Moms,funny gift|personalized gift|custom shirt|dog moms|dog gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-17,LB-00635,New Moms,Evergreen,T-Shirt,Respawn and Repeat T-Shirt | Evergreen | New Moms,funny gift|personalized gift|custom shirt|new moms|new gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-18,LB-00640,New Dads,Evergreen,T-Shirt,Distressed Classic T-Shirt | Evergreen | New Dads,funny gift|personalized gift|custom shirt|new dads|new gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-19,LB-00644,Boy Moms,Evergreen,T-Shirt,Monogram Style T-Shirt | Evergreen | Boy Moms,funny gift|personalized gift|custom shirt|boy moms|boy gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-20,LB-00648,Book Lovers,Evergreen,T-Shirt,My Favorite Human T-Shirt | Evergreen | Book Lovers,funny gift|personalized gift|custom shirt|book lovers|book gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-21,LB-00681,Dental Hygienists,Evergreen,T-Shirt,Always in My Heart T-Shirt | Evergreen | Dental Hygienists,funny gift|personalized gift|custom shirt|dental hygienists|dental gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-15,LB-00713,Real Estate Agents,Evergreen,T-Shirt,Grade A Chaos T-Shirt | Evergreen | Real Estate Agents,funny gift|personalized gift|custom shirt|real estate agents|real gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-16,LB-00718,Gamers,Evergreen,T-Shirt,Picture + Name T-Shirt | Evergreen | Gamers,funny gift|personalized gift|custom shirt|gamers|gamers gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-17,LB-00733,Dental Hygienists,Evergreen,T-Shirt,Throwback Type T-Shirt | Evergreen | Dental Hygienists,funny gift|personalized gift|custom shirt|dental hygienists|dental gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-18,LB-00735,Graduation Families,Evergreen,T-Shirt,Vintage Sunset T-Shirt | Evergreen | Graduation Families,funny gift|personalized gift|custom shirt|graduation families|graduation gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-19,LB-00737,Cat Moms,Evergreen,T-Shirt,Old School Badge T-Shirt | Evergreen | Cat Moms,funny gift|personalized gift|custom shirt|cat moms|cat gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-20,LB-00740,Gamers,Evergreen,T-Shirt,Photo Collage Layout T-Shirt | Evergreen | Gamers,funny gift|personalized gift|custom shirt|gamers|gamers gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-21,LB-00749,Cat Moms,Evergreen,T-Shirt,Booktrovert T-Shirt | Evergreen | Cat Moms,funny gift|personalized gift|custom shirt|cat moms|cat gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-15,LB-00795,Dental Hygienists,Evergreen,T-Shirt,Fueled by Coffee and Chaos T-Shirt | Evergreen | Dental Hygienists,funny gift|personalized gift|custom shirt|dental hygienists|dental gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-16,LB-00840,Moms of 2+,Evergreen,T-Shirt,Built for Service T-Shirt | Evergreen | Moms of 2+,funny gift|personalized gift|custom shirt|moms of 2+|moms gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-17,LB-00889,Real Estate Agents,Evergreen,T-Shirt,Caregiver Heart T-Shirt | Evergreen | Real Estate Agents,funny gift|personalized gift|custom shirt|real estate agents|real gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-18,LB-00908,Nurses,Evergreen,T-Shirt,Add Kid Names T-Shirt | Evergreen | Nurses,funny gift|personalized gift|custom shirt|nurses|nurses gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-19,LB-00955,Cat Moms,Evergreen,T-Shirt,Booktrovert T-Shirt | Evergreen | Cat Moms,funny gift|personalized gift|custom shirt|cat moms|cat gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-20,LB-00982,Real Estate Agents,Evergreen,T-Shirt,Plant Parent Energy T-Shirt | Evergreen | Real Estate Agents,funny gift|personalized gift|custom shirt|real estate agents|real gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-21,LB-00994,Book Lovers,Evergreen,T-Shirt,Classroom Hero T-Shirt | Evergreen | Book Lovers,funny gift|personalized gift|custom shirt|book lovers|book gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-15,LB-00002,Dental Hygienists,Evergreen,Sweatshirt,Fueled by Coffee and Chaos Sweatshirt | Evergreen | Dental Hygienists,funny gift|personalized gift|custom shirt|dental hygienists|dental gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-16,LB-00013,Therapists,Evergreen,Sweatshirt,Est. Year Custom Sweatshirt | Evergreen | Therapists,funny gift|personalized gift|custom shirt|therapists|therapists gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-17,LB-00028,Teachers,Evergreen,Sweatshirt,Healing Hands Sweatshirt | Evergreen | Teachers,funny gift|personalized gift|custom shirt|teachers|teachers gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-18,LB-00033,Real Estate Agents,Evergreen,Sweatshirt,Retro Script Sweatshirt | Evergreen | Real Estate Agents,funny gift|personalized gift|custom shirt|real estate agents|real gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-19,LB-00042,New Dads,Evergreen,Sweatshirt,Photo Collage Layout Sweatshirt | Evergreen | New Dads,funny gift|personalized gift|custom shirt|new dads|new gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-20,LB-00058,Gamers,Evergreen,Sweatshirt,Personalized Family Name Sweatshirt | Evergreen | Gamers,funny gift|personalized gift|custom shirt|gamers|gamers gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-21,LB-00157,Plant Lovers,Evergreen,Sweatshirt,Monogram Style Sweatshirt | Evergreen | Plant Lovers,funny gift|personalized gift|custom shirt|plant lovers|plant gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-15,LB-00188,Dog Moms,Evergreen,Sweatshirt,Mama Era Sweatshirt | Evergreen | Dog Moms,funny gift|personalized gift|custom shirt|dog moms|dog gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-16,LB-00190,Dog Moms,Evergreen,Sweatshirt,Personalized Family Name Sweatshirt | Evergreen | Dog Moms,funny gift|personalized gift|custom shirt|dog moms|dog gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-17,LB-00264,Grandmas/Nanas,Evergreen,Sweatshirt,Grade A Chaos Sweatshirt | Evergreen | Grandmas/Nanas,funny gift|personalized gift|custom shirt|grandmas nanas|grandmas/nanas gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-18,LB-00308,New Moms,Evergreen,Sweatshirt,Vitals and Vibes Sweatshirt | Evergreen | New Moms,funny gift|personalized gift|custom shirt|new moms|new gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-19,LB-00321,Dental Hygienists,Evergreen,Sweatshirt,Nurse Life Sweatshirt | Evergreen | Dental Hygienists,funny gift|personalized gift|custom shirt|dental hygienists|dental gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-20,LB-00331,Gamers,Evergreen,Sweatshirt,Custom Name Here Sweatshirt | Evergreen | Gamers,funny gift|personalized gift|custom shirt|gamers|gamers gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-21,LB-00363,Grandmas/Nanas,Evergreen,Sweatshirt,Custom Name Here Sweatshirt | Evergreen | Grandmas/Nanas,funny gift|personalized gift|custom shirt|grandmas nanas|grandmas/nanas gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-15,LB-00386,New Moms,Evergreen,Sweatshirt,Thank You for Everything Sweatshirt | Evergreen | New Moms,funny gift|personalized gift|custom shirt|new moms|new gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-16,LB-00425,Book Lovers,Evergreen,Sweatshirt,Retro Script Sweatshirt | Evergreen | Book Lovers,funny gift|personalized gift|custom shirt|book lovers|book gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-17,LB-00505,Boy Moms,Evergreen,Sweatshirt,Grace Over Grind Sweatshirt | Evergreen | Boy Moms,funny gift|personalized gift|custom shirt|boy moms|boy gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-18,LB-00513,Fitness Moms,Evergreen,Sweatshirt,Photo Collage Layout Sweatshirt | Evergreen | Fitness Moms,funny gift|personalized gift|custom shirt|fitness moms|fitness gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-19,LB-00554,Real Estate Agents,Evergreen,Sweatshirt,Teacher Vibes Sweatshirt | Evergreen | Real Estate Agents,funny gift|personalized gift|custom shirt|real estate agents|real gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-20,LB-00559,Graduation Families,Evergreen,Sweatshirt,Monogram Style Sweatshirt | Evergreen | Graduation Families,funny gift|personalized gift|custom shirt|graduation families|graduation gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-21,LB-00590,Moms of 2+,Evergreen,Sweatshirt,Groovy Flowers Sweatshirt | Evergreen | Moms of 2+,funny gift|personalized gift|custom shirt|moms of 2+|moms gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-15,LB-00591,Nurses,Evergreen,Sweatshirt,Grade A Chaos Sweatshirt | Evergreen | Nurses,funny gift|personalized gift|custom shirt|nurses|nurses gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-16,LB-00610,Christian Moms,Evergreen,Sweatshirt,Add Kid Names Sweatshirt | Evergreen | Christian Moms,funny gift|personalized gift|custom shirt|christian moms|christian gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-17,LB-00620,Grandmas/Nanas,Evergreen,Sweatshirt,Built for Service Sweatshirt | Evergreen | Grandmas/Nanas,funny gift|personalized gift|custom shirt|grandmas nanas|grandmas/nanas gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-18,LB-00627,New Moms,Evergreen,Sweatshirt,Forever Proud Sweatshirt | Evergreen | New Moms,funny gift|personalized gift|custom shirt|new moms|new gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-19,LB-00658,Grandmas/Nanas,Evergreen,Sweatshirt,Vintage Sunset Sweatshirt | Evergreen | Grandmas/Nanas,funny gift|personalized gift|custom shirt|grandmas nanas|grandmas/nanas gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-20,LB-00666,Real Estate Agents,Evergreen,Sweatshirt,Custom Role Name Sweatshirt | Evergreen | Real Estate Agents,funny gift|personalized gift|custom shirt|real estate agents|real gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-21,LB-00667,Therapists,Evergreen,Sweatshirt,Throwback Type Sweatshirt | Evergreen | Therapists,funny gift|personalized gift|custom shirt|therapists|therapists gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-15,LB-00674,Boy Moms,Evergreen,Sweatshirt,Forever Proud Sweatshirt | Evergreen | Boy Moms,funny gift|personalized gift|custom shirt|boy moms|boy gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-16,LB-00675,Gamers,Evergreen,Sweatshirt,Healing Hands Sweatshirt | Evergreen | Gamers,funny gift|personalized gift|custom shirt|gamers|gamers gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-17,LB-00694,Book Lovers,Evergreen,Sweatshirt,Not Today Sweatshirt | Evergreen | Book Lovers,funny gift|personalized gift|custom shirt|book lovers|book gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-18,LB-00697,Christian Moms,Evergreen,Sweatshirt,Polaroid Frame Style Sweatshirt | Evergreen | Christian Moms,funny gift|personalized gift|custom shirt|christian moms|christian gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-19,LB-00708,Dental Hygienists,Evergreen,Sweatshirt,Picture + Name Sweatshirt | Evergreen | Dental Hygienists,funny gift|personalized gift|custom shirt|dental hygienists|dental gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W8,2026-04-20,LB-00790,Dog Moms,Evergreen,Sweatshirt,IYKYK Sweatshirt | Evergreen | Dog Moms,funny gift|personalized gift|custom shirt|dog moms|dog gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
